id,election_id,person_id,party_id,votes,vote_share,elected,created_at,updated_at
196,41,196,8,26689,28.88,0,2025-12-12 15:18:42,2025-12-12 15:18:42
197,41,197,4,15461,16.73,0,2025-12-12 15:18:42,2025-12-12 15:18:42
198,41,198,4,8419,9.11,0,2025-12-12 15:18:42,2025-12-12 15:18:42
199,42,199,29,4871,5.51,0,2025-12-12 15:18:45,2025-12-12 15:18:45
200,42,200,34,16594,18.77,0,2025-12-12 15:18:45,2025-12-12 15:18:45
201,42,201,4,66935,75.72,1,2025-12-12 15:18:45,2025-12-12 15:18:45
202,43,202,10,17205,10.28,0,2025-12-12 15:18:47,2025-12-12 15:18:47
203,43,203,19,46816,27.99,1,2025-12-12 15:18:47,2025-12-12 15:18:47
204,43,204,29,8606,5.14,0,2025-12-12 15:18:47,2025-12-12 15:18:47
205,43,205,21,34897,20.86,0,2025-12-12 15:18:47,2025-12-12 15:18:47
206,43,206,4,20325,12.15,0,2025-12-12 15:18:47,2025-12-12 15:18:47
207,43,207,4,39436,23.57,0,2025-12-12 15:18:47,2025-12-12 15:18:47
208,44,208,7,4175,6.99,0,2025-12-12 15:18:49,2025-12-12 15:18:49
209,44,209,18,7183,12.02,0,2025-12-12 15:18:49,2025-12-12 15:18:49
210,44,210,4,36751,61.52,1,2025-12-12 15:18:49,2025-12-12 15:18:49
211,44,211,4,11625,19.46,0,2025-12-12 15:18:49,2025-12-12 15:18:49
212,45,212,36,6133,49.24,1,2025-12-12 15:18:51,2025-12-12 15:18:51
213,45,213,34,459,3.68,0,2025-12-12 15:18:51,2025-12-12 15:18:51
214,45,214,18,4301,34.53,0,2025-12-12 15:18:51,2025-12-12 15:18:51
215,45,215,4,728,5.84,0,2025-12-12 15:18:51,2025-12-12 15:18:51
216,45,216,4,835,6.7,0,2025-12-12 15:18:51,2025-12-12 15:18:51
217,46,217,10,4480,5.74,0,2025-12-12 15:18:54,2025-12-12 15:18:54
218,46,218,14,19479,24.98,0,2025-12-12 15:18:54,2025-12-12 15:18:54
219,46,219,34,3502,4.49,0,2025-12-12 15:18:54,2025-12-12 15:18:54
220,46,220,8,23385,29.99,1,2025-12-12 15:18:54,2025-12-12 15:18:54
221,46,221,4,16173,20.74,0,2025-12-12 15:18:54,2025-12-12 15:18:54
222,46,222,4,3252,4.17,0,2025-12-12 15:18:54,2025-12-12 15:18:54
223,46,223,4,3031,3.89,0,2025-12-12 15:18:54,2025-12-12 15:18:54
224,46,224,4,4681,6.0,0,2025-12-12 15:18:54,2025-12-12 15:18:54
225,47,225,20,2614,31.87,0,2025-12-12 15:18:56,2025-12-12 15:18:56
226,47,226,18,2759,33.64,1,2025-12-12 15:18:56,2025-12-12 15:18:56
227,47,227,4,1112,13.56,0,2025-12-12 15:18:56,2025-12-12 15:18:56
228,47,228,4,1143,13.94,0,2025-12-12 15:18:56,2025-12-12 15:18:56
229,47,229,4,573,6.99,0,2025-12-12 15:18:56,2025-12-12 15:18:56
230,48,230,28,24002,42.45,1,2025-12-12 15:18:58,2025-12-12 15:18:58
231,48,231,12,10106,17.87,0,2025-12-12 15:18:58,2025-12-12 15:18:58
232,48,232,4,3237,5.73,0,2025-12-12 15:18:58,2025-12-12 15:18:58
233,48,233,4,12293,21.74,0,2025-12-12 15:18:58,2025-12-12 15:18:58
234,48,234,4,4514,7.98,0,2025-12-12 15:18:58,2025-12-12 15:18:58
235,48,235,4,2388,4.22,0,2025-12-12 15:18:58,2025-12-12 15:18:58
236,49,236,24,9227,4.26,0,2025-12-12 15:19:01,2025-12-12 15:19:01
237,49,237,16,62027,28.65,0,2025-12-12 15:19:01,2025-12-12 15:19:01
238,49,238,29,14875,6.87,0,2025-12-12 15:19:01,2025-12-12 15:19:01
239,49,239,27,19788,9.14,0,2025-12-12 15:19:01,2025-12-12 15:19:01
240,49,240,12,110611,51.08,1,2025-12-12 15:19:01,2025-12-12 15:19:01
241,50,241,25,26127,54.91,1,2025-12-12 15:19:03,2025-12-12 15:19:03
242,50,242,2,16617,34.92,0,2025-12-12 15:19:03,2025-12-12 15:19:03
243,50,243,4,4837,10.17,0,2025-12-12 15:19:03,2025-12-12 15:19:03
244,51,244,14,3392,25.7,0,2025-12-12 15:19:05,2025-12-12 15:19:05
245,51,245,21,5147,39.0,1,2025-12-12 15:19:05,2025-12-12 15:19:05
246,51,246,4,648,4.91,0,2025-12-12 15:19:05,2025-12-12 15:19:05
247,51,247,4,3110,23.56,0,2025-12-12 15:19:05,2025-12-12 15:19:05
248,51,248,4,902,6.83,0,2025-12-12 15:19:05,2025-12-12 15:19:05
249,52,249,24,2403,3.92,0,2025-12-12 15:19:07,2025-12-12 15:19:07
250,52,250,10,5990,9.78,0,2025-12-12 15:19:07,2025-12-12 15:19:07
251,52,251,37,3131,5.11,0,2025-12-12 15:19:07,2025-12-12 15:19:07
252,52,252,35,49744,81.19,1,2025-12-12 15:19:07,2025-12-12 15:19:07
253,53,253,13,5837,11.42,0,2025-12-13 15:06:23,2025-12-13 15:06:23
254,53,254,28,20946,40.98,1,2025-12-13 15:06:23,2025-12-13 15:06:23
255,53,255,12,18557,36.31,0,2025-12-13 15:06:23,2025-12-13 15:06:23
256,53,256,4,5773,11.29,0,2025-12-13 15:06:23,2025-12-13 15:06:23
257,54,257,13,877,37.11,0,2025-12-13 15:06:23,2025-12-13 15:06:23
258,54,258,18,489,20.69,0,2025-12-13 15:06:23,2025-12-13 15:06:23
259,54,259,4,997,42.19,1,2025-12-13 15:06:23,2025-12-13 15:06:23
260,55,260,19,15,0.72,0,2025-12-13 15:06:23,2025-12-13 15:06:23
261,55,261,15,235,11.35,0,2025-12-13 15:06:23,2025-12-13 15:06:23
262,55,262,34,691,33.37,0,2025-12-13 15:06:23,2025-12-13 15:06:23
263,55,263,4,746,36.02,1,2025-12-13 15:06:23,2025-12-13 15:06:23
264,55,264,4,384,18.54,0,2025-12-13 15:06:23,2025-12-13 15:06:23
265,56,265,20,869,30.01,0,2025-12-13 15:06:23,2025-12-13 15:06:23
266,56,266,8,1934,66.78,1,2025-12-13 15:06:23,2025-12-13 15:06:23
267,56,267,4,93,3.21,0,2025-12-13 15:06:23,2025-12-13 15:06:23
268,57,268,10,19988,17.43,0,2025-12-13 15:06:23,2025-12-13 15:06:23
269,57,269,20,45113,39.34,1,2025-12-13 15:06:23,2025-12-13 15:06:23
270,57,270,34,11008,9.6,0,2025-12-13 15:06:23,2025-12-13 15:06:23
271,57,271,18,38554,33.62,0,2025-12-13 15:06:23,2025-12-13 15:06:23
272,58,272,1,2431,47.05,0,2025-12-13 15:06:23,2025-12-13 15:06:23
273,58,273,31,2736,52.95,1,2025-12-13 15:06:23,2025-12-13 15:06:23
274,59,274,38,231,2.54,0,2025-12-13 15:06:23,2025-12-13 15:06:23
275,59,275,28,5619,61.78,1,2025-12-13 15:06:23,2025-12-13 15:06:23
276,59,276,12,1624,17.86,0,2025-12-13 15:06:23,2025-12-13 15:06:23
277,59,277,4,1410,15.5,0,2025-12-13 15:06:23,2025-12-13 15:06:23
278,59,278,4,211,2.32,0,2025-12-13 15:06:23,2025-12-13 15:06:23
279,60,279,5,4200,1.97,0,2025-12-13 15:06:23,2025-12-13 15:06:23
280,60,280,10,17320,8.13,0,2025-12-13 15:06:23,2025-12-13 15:06:23
281,60,281,16,41741,19.6,0,2025-12-13 15:06:23,2025-12-13 15:06:23
282,60,282,39,9670,4.54,0,2025-12-13 15:06:23,2025-12-13 15:06:23
283,60,283,29,9087,4.27,0,2025-12-13 15:06:23,2025-12-13 15:06:23
284,60,284,2,19326,9.08,0,2025-12-13 15:06:23,2025-12-13 15:06:23
285,60,285,35,56649,26.6,1,2025-12-13 15:06:23,2025-12-13 15:06:23
286,60,286,4,13670,6.42,0,2025-12-13 15:06:23,2025-12-13 15:06:23
287,60,287,4,41291,19.39,0,2025-12-13 15:06:23,2025-12-13 15:06:23
288,61,288,13,3773,4.05,0,2025-12-13 15:06:23,2025-12-13 15:06:23
289,61,289,6,51426,55.23,1,2025-12-13 15:06:23,2025-12-13 15:06:23
290,61,290,29,5374,5.77,0,2025-12-13 15:06:23,2025-12-13 15:06:23
291,61,291,34,11788,12.66,0,2025-12-13 15:06:23,2025-12-13 15:06:23
292,61,292,4,15794,16.96,0,2025-12-13 15:06:23,2025-12-13 15:06:23
293,61,293,4,4961,5.33,0,2025-12-13 15:06:23,2025-12-13 15:06:23
